"dept_name","gender","avg_salary"
"Customer Service","F",61375.61
"Customer Service","M",62001.08
"Development","F",61941.72
"Development","M",62878.84
"Finance","F",67401.08
"Finance","M",68042.54
"Human Resources","F",59544.83
"Human Resources","M",59946.89
"Marketing","F",67382.35
"Marketing","M",68410.16
"Production","F",61847.17
"Production","M",63002.84
"Quality Management","F",60862.18
"Quality Management","M",61862.73
"Research","F",61852.01
"Research","M",62934.11
"Sales","F",71329.74
"Sales","M",72612.94
